lon,lat,elevation
-155.2666667,18.8,-4235
-155.25,18.8,-4212
-155.2333333,18.8,-4091
-155.2166667,18.8,-3694
-155.2,18.8,-3281
-155.1833333,18.8,-3776
-155.1666667,18.8,-4493
-155.15,18.8,-4647
-155.1333333,18.8,-4713
-155.1166667,18.8,-4792
-155.1,18.8,-4866
-155.0833333,18.8,-5076
-155.0666667,18.8,-5054
-155.05,18.8,-5057
-155.0333333,18.8,-5082
-155.0166667,18.8,-5098
-155,18.8,-5123
-154.9833333,18.8,-5154
-154.9666667,18.8,-5176
-154.95,18.8,-5195
-154.9333333,18.8,-5205
-154.9166667,18.8,-5216
-154.9,18.8,-5237
-154.8833333,18.8,-5271
-154.8666667,18.8,-5287
-154.85,18.8,-5299
-154.8333333,18.8,-5308
-154.8166667,18.8,-5317
-154.8,18.8,-5324
-154.7833333,18.8,-5331
-154.7666667,18.8,-5335
-154.75,18.8,-5340
-154.7333333,18.8,-5346
-154.7166667,18.8,-5355
-154.7,18.8,-5364
-154.6833333,18.8,-5396
-154.6666667,18.8,-5409
-154.65,18.8,-5397
-154.6333333,18.8,-5399
-154.6166667,18.8,-5402
-154.6,18.8,-5403
-154.5833333,18.8,-5404
-154.5666667,18.8,-5404
-154.55,18.8,-5391
-154.5333333,18.8,-5374
-154.5166667,18.8,-5357
-154.5,18.8,-5340
-154.4833333,18.8,-5323
-154.4666667,18.8,-5314
-154.45,18.8,-5398
-154.4333333,18.8,-5427
-154.4166667,18.8,-5415
-154.4,18.8,-5399
-154.3833333,18.8,-5384
-154.3666667,18.8,-5372
-154.35,18.8,-5363
-154.3333333,18.8,-5360
-154.3166667,18.8,-5360
-154.3,18.8,-5359
-154.2833333,18.8,-5355
-154.2666667,18.8,-5346
-154.25,18.8,-5338
-154.2333333,18.8,-5333
-154.2166667,18.8,-5330
-154.2,18.8,-5326
-154.1833333,18.8,-5321
-154.1666667,18.8,-5313
-154.15,18.8,-5305
-154.1333333,18.8,-5298
-154.1166667,18.8,-5292
-154.1,18.8,-5288
-154.0833333,18.8,-5285
-154.0666667,18.8,-5282
-154.05,18.8,-5278
-154.0333333,18.8,-5273
-154.0166667,18.8,-5266
-156.9833333,18.81666667,-3271
-156.9666667,18.81666667,-3455
-156.95,18.81666667,-3982
-156.9333333,18.81666667,-4400
-156.9166667,18.81666667,-4443
-156.9,18.81666667,-4454
-156.8833333,18.81666667,-4498
-156.8666667,18.81666667,-4518
-156.85,18.81666667,-4531
-156.8333333,18.81666667,-4544
-156.8166667,18.81666667,-4544
-156.8,18.81666667,-4544
-156.7833333,18.81666667,-4544
-156.7666667,18.81666667,-4546
-156.75,18.81666667,-4553
-156.7333333,18.81666667,-4555
-156.7166667,18.81666667,-4545
-156.7,18.81666667,-4524
-156.6833333,18.81666667,-4563
-156.6666667,18.81666667,-4578
-156.65,18.81666667,-4585
-156.6333333,18.81666667,-4599
-156.6166667,18.81666667,-4605
-156.6,18.81666667,-4607
-156.5833333,18.81666667,-4608
-156.5666667,18.81666667,-4607
-156.55,18.81666667,-4554
-156.5333333,18.81666667,-4395
-156.5166667,18.81666667,-4549
-156.5,18.81666667,-4591
-156.4833333,18.81666667,-4614
-156.4666667,18.81666667,-4616
-156.45,18.81666667,-4608
-156.4333333,18.81666667,-4584
-156.4166667,18.81666667,-4586
-156.4,18.81666667,-4594
-156.3833333,18.81666667,-4595
-156.3666667,18.81666667,-4604
