SAMPLE ID,CALCULATED AGE (Ma),CALCULATED MAX AGE,CACLULATED MIN AGE,AGE TECHNIQUE,AGE MINERAL,LATITUDE,LONGITUDE,SIO2
3,4.48,4.63,4.33,K-AR,WHOLE ROCK,35.3398,-115.7589,
5,4.24,4.41,4.07,K-AR,WHOLE ROCK,35.3398,-115.7589,
11,0.56,0.64,0.48,K-AR,WHOLE ROCK,35.1774,-115.8264,
12,0.58,0.74,0.42,K-AR,WHOLE ROCK,35.2045,-115.8709,
13,0.17,0.23,0.11,K-AR,WHOLE ROCK,35.2069,-115.8709,
14,0.16,0.2,0.12,K-AR,WHOLE ROCK,35.2071,-115.8686,
14R,0.17,0.21,0.13,K-AR,WHOLE ROCK,35.2071,-115.8686,
16,0.32,0.41,0.23,K-AR,WHOLE ROCK,35.2055,-115.8665,
19,0.13,0.19,0.07,K-AR,WHOLE ROCK,35.2254,-115.7539,
26,0.06,0.09,0.03,K-AR,WHOLE ROCK,35.2105,-115.8131,
20,0.46,0.54,0.38,K-AR,WHOLE ROCK,35.222,-115.81,
21,0.63,0.74,0.52,K-AR,WHOLE ROCK,35.2424,-115.7911,
24,0.75,0.97,0.53,K-AR,WHOLE ROCK,35.2457,-115.7964,
29,0.99,1.06,0.92,K-AR,WHOLE ROCK,35.1999,-115.7453,
25,0.39,0.47,0.31,K-AR,WHOLE ROCK,35.2469,-115.7989,
28,0.33,0.36,0.3,K-AR,WHOLE ROCK,35.2018,-115.7419,
36,0.33,0.49,0.17,K-AR,WHOLE ROCK,35.2562,-115.7396,
37,0.25,0.3,0.2,K-AR,WHOLE ROCK,35.2591,-115.748,
40,0.67,0.8,0.54,K-AR,WHOLE ROCK,35.2572,-115.7219,
41,0.27,0.37,0.17,K-AR,WHOLE ROCK,35.2543,-115.7207,
41R,0.26,0.38,0.14,K-AR,WHOLE ROCK,35.2543,-115.7207,
42,0.27,0.34,0.2,K-AR,WHOLE ROCK,35.2963,-115.7143,
43,0.32,0.34,0.3,K-AR,WHOLE ROCK,35.3006,-115.7168,
51,0.27,0.32,0.22,K-AR,WHOLE ROCK,35.2642,-115.8005,
55,0.7,0.76,0.64,K-AR,WHOLE ROCK,35.2363,-115.7236,
56,0.17,0.21,0.13,K-AR,WHOLE ROCK,35.2343,-115.7913,
59,3.64,3.8,3.48,K-AR,WHOLE ROCK,35.3289,-115.8505,
62,0.85,0.9,0.8,K-AR,WHOLE ROCK,35.2096,-115.7138,
26-May,31.8,35,28.6,K-AR,PLAGIOCLASE,32.9633,-114.6183,63.2
3-26x,22.7,28.6,16.8,K-AR,PLAGIOCLASE,33.0194,-114.6333,
PP-100,13.1,15.6,10.6,K-AR,PLAGIOCLASE,33.0861,-114.8472,
ES:115,16.4,18.04,14.76,K-AR,WHOLE ROCK,32.4833,-114.7417,
ES:115,20.5,30.5,10.5,K-AR,WHOLE ROCK,32.4833,-114.7417,
ES:121,9.2,11,7.4,K-AR,WHOLE ROCK,33.0589,-114.8319,
ES:123,16.4,17.4,15.4,K-AR,WHOLE ROCK,32.7983,-116.0261,
CIM-8143,0.04,0.044,0.036,UNKNOWN,none,35.2,-115.8667,
C-201,13,14.3,11.7,RB-SR,none,35.687,-116.6938,
4,23.2,24,22.4,K-AR,BIOTITE,33.4658,-115.5828,
6,20.7,21.3,20.1,K-AR,BIOTITE,33.4658,-115.5828,
1,18.6,19.2,18,K-AR,BIOTITE,34.3,-117.9167,
2,14.5,14.9,14.1,K-AR,BIOTITE,34.3,-117.9167,
9,14,14.6,13.4,K-AR,BIOTITE,34.3,-117.9167,
3,14,14.4,13.6,K-AR,BIOTITE,34.3,-117.9167,
First Sample,5.47,5.67,5.27,K-AR,none,33.1083,-114.8733,
CG-55,23.3,24,22.6,K-AR,BIOTITE,33.4833,-115.4,
F-9,34.7,36,33.4,K-AR,PLAGIOCLASE,33.3,-114.8,
LC-15,25.5,25.7,25.3,K-AR,PLAGIOCLASE,33.4667,-115.0833,
AP-2,25.7,27,24.4,K-AR,PLAGIOCLASE,33.5167,-115.2667,57.7
SW-1,33,34,32,K-AR,PLAGIOCLASE,33.5167,-115.7,
SW1-3B,27.3,27.7,26.9,K-AR,SANIDINE,33.5167,-115.7,
CG-57,23.5,24.6,22.4,K-AR,PLAGIOCLASE,33.4667,-115.4167,72.8
CG-642,23.7,24,23.4,K-AR,SANIDINE,33.4667,-115.4,
F-5,35,38,32,K-AR,PLAGIOCLASE,33.45,-115.0833,
F-2,25.2,27.7,22.7,K-AR,PLAGIOCLASE,33.4,-114.8667,
F-7,25.6,26.6,24.6,K-AR,BIOTITE,33.3667,-114.8667,
F-1,27.9,28.8,27,K-AR,BIOTITE,33.3833,-114.8833,
F-10,23.1,24,22.2,K-AR,HORNBLENDE,33.3,-114.8,
BH-3,22.1,23.4,20.8,K-AR,PLAGIOCLASE,33.4,-115.0333,
PV-21,28.2,32.1,24.3,K-AR,PLAGIOCLASE,33.3833,-114.8667,56
F-8,30,33,27,K-AR,WHOLE ROCK,33.3667,-114.8667,
CG-27,19,19.6,18.4,K-AR,PLAGIOCLASE,33.5167,-115.5667,
LC-4,25.6,29.8,21.4,K-AR,PLAGIOCLASE,33.45,-115.0833,
CG-32,18.8,19,18.6,K-AR,PLAGIOCLASE,33.5,-115.55,
PV-34,56.4,58,54.8,K-AR,PLAGIOCLASE,33.4333,-114.8667,60.9
PV-33,24.5,26.2,22.8,K-AR,PLAGIOCLASE,33.4333,-114.8667,
F-3,36.4,40.4,32.4,K-AR,PLAGIOCLASE,33.4333,-114.8667,
AP-10,16.8,21.2,12.4,K-AR,PLAGIOCLASE,33.4833,-115.2667,
CMG1-36,23.1,23.8,22.4,K-AR,BIOTITE,33.3167,-115.35,
CMG1-34,22,22.7,21.3,K-AR,BIOTITE,33.3333,-115.3333,
CMG1-35,22.3,23,21.6,K-AR,BIOTITE,33.3167,-115.3333,
CMG1-68,23.9,24.6,23.2,K-AR,BIOTITE,33.4833,-115.5667,
CG-B,26,26.2,25.8,K-AR,SANIDINE,33.5,-115.6667,
MC-53,15.4,15.6,15.2,K-AR,BIOTITE,33,-115,
CALL-LX,15.9,16,15.8,K-AR,BIOTITE,33,-115,
VV1-2,24.3,25.9,22.7,K-AR,PLAGIOCLASE,33,-115,
VV1-6,21.5,22.8,20.2,K-AR,PLAGIOCLASE,33,-115,
9/6/01,0.234,0.256,0.212,K-AR,none,35.0207,-117.7707,48.4
Dike 4,10.1,11.11,9.09,K-AR,none,34.25,-118.9,
DT 81A3,14.27,14.67,13.87,K-AR,PLAGIOCLASE,34.2523,-118.8322,
DT 81D1,16.01,16.61,15.41,K-AR,PLAGIOCLASE,34.2101,-118.937,
DT 89A3,15.19,15.59,14.79,K-AR,PLAGIOCLASE,34.156,-118.7812,
DT 89A4,14.99,15.69,14.29,K-AR,PLAGIOCLASE,34.1375,-118.7586,
DT 89A5,15.91,16.71,15.11,K-AR,PLAGIOCLASE,34.0707,-118.9261,
basalt within Elsinore fault zone,6.8,7,6.6,K-AR,WHOLE ROCK,33.6328,-117.3719,
basalt 1 on Mesa de Burro,6.7,6.9,6.5,K-AR,WHOLE ROCK,33.5333,-117.2464,
basalt 2 on Mesa de Burro,7.4,7.8,7,K-AR,WHOLE ROCK,33.5333,-117.2464,
basalt 1 on Hogback Ridge,10.4,10.7,10.1,K-AR,WHOLE ROCK,33.5856,-117.1528,
basalt 2 on Hogback Ridge,10.8,11.1,10.5,K-AR,WHOLE ROCK,33.5856,-117.1528,
C4017,8,9,8,K-AR,none,33.535,-117.247,
C4020,19.2,20.5,17.9,K-AR,none,32.625,-116.199,
C4022,0.05,0.1,0,MORPH,none,34.649,-116.323,47.24
C4025,0.05,0.1,0,REG-COR,none,35.288,-115.726,47.55
C5001,1,2,0,REG-COR,none,35.108,-117.139,52.27
C5003,22.8,23.9,21.7,K-AR,none,34.849,-116.094,
2,11.6,12.76,10.44,K-AR,none,35.088,-115.3615,56.41
4,15.8,17.38,14.22,K-AR,none,35.1373,-115.3856,72.44
C6002,0.9,1.8,0.01,REG-COR,none,34.117,-114.845,51.27
5,15.8,17.38,14.22,K-AR,none,35.1373,-115.3856,60.16
C6009,0.9,1.8,0.01,REG-COR,none,34.91,-115.057,
8,15.8,17.38,14.22,K-AR,none,35.208,-115.3579,63.74
C7001,2.66,5.3,0.01,UNKNOWN,none,34.175,-116.4,49.31
9,15.8,17.38,14.22,K-AR,none,35.208,-115.3579,64.56
10,15.8,17.38,14.22,K-AR,none,35.208,-115.3579,74.4
11,15.8,17.38,14.22,K-AR,none,35.1922,-115.394,73.94
12,15.8,17.38,14.22,K-AR,none,35.1987,-115.397,73.88
13,15.8,17.38,14.22,K-AR,none,35.1447,-115.3874,74.57
14,15.8,17.38,14.22,K-AR,none,35.195,-115.4018,75.53
15,15.8,17.38,14.22,K-AR,none,35.2025,-115.4036,73.7
16,15.8,17.38,14.22,K-AR,none,35.1494,-115.3826,61.79
tuff A,0.61,0.67,0.55,U-TH,none,35.65,-116.15,
tuff B,0.7,0.8,0.6,U-TH,none,35.65,-116.15,
tuff C,0.09,0.099,0.081,U-TH,none,35.65,-116.15,
USGSM-GV-72-2,21.3,21.9,20.7,K-AR,PLAGIOCLASE,35.3386,-118.7172,
1120-5,18.5,22.5,14.5,REG-COR,none,34.3752,-114.7865,54.9
PB-34,0.001,0.0011,0.0009,UNKNOWN,none,35.1667,-115.8167,48.05
49-3,18.5,22.5,14.5,REG-COR,none,34.3327,-114.7744,49.9
1120-4,18.5,22.5,14.5,REG-COR,none,34.3748,-114.7848,47.1
1120-6,18.5,22.5,14.5,REG-COR,none,34.3743,-114.7818,64.9
CV-1,14,16,13,REG-COR,none,34.1412,-118.7588,49.92
CV-2,14,16,13,REG-COR,none,34.1181,-118.7808,59.36
CV-3,14,16,13,REG-COR,none,34.1016,-118.8034,56.48
CV-4,14,16,13,REG-COR,none,34.1046,-118.7613,56
CV-5,14,16,13,REG-COR,none,34.1338,-118.7549,50.01
CV-6,14,16,13,REG-COR,none,34.1325,-118.7555,51.59
CV-7,14,16,13,REG-COR,none,34.1374,-118.7573,52.39
CV-8,14,16,13,REG-COR,none,34.1362,-118.7566,57.12
CV-9,14,16,13,REG-COR,none,34.1351,-118.756,55.64
CV-10,14,16,13,REG-COR,none,34.1311,-118.7603,57.83
CV-11,14,16,13,REG-COR,none,34.1322,-118.7574,57.13
CV-12,14,16,13,REG-COR,none,34.1306,-118.7614,50.82
CV-13,14,16,13,REG-COR,none,34.1308,-118.7685,51.13
CV-14,14,16,13,REG-COR,none,34.1283,-118.7757,62.55
CV-15,14,16,13,REG-COR,none,34.1247,-118.7765,68.8
CV-16,14,16,13,REG-COR,none,34.1209,-118.7774,57.22
CV-17,14,16,13,REG-COR,none,34.1028,-118.7507,60.94
CV-18,14,16,13,REG-COR,none,34.1059,-118.7556,66.97
CV-19,14,16,13,REG-COR,none,34.113,-118.773,59.82
CV-20,14,16,13,REG-COR,none,34.1131,-118.7843,64.78
CV-21,14,16,13,REG-COR,none,34.1072,-118.7887,52.08
CV-22,14,16,13,REG-COR,none,34.1261,-118.7971,51.72
CV-23,14,16,13,REG-COR,none,34.1291,-118.7981,66.32
CV-24,14,16,13,REG-COR,none,34.1273,-118.7972,60.1
CV-25,14,16,13,REG-COR,none,34.108,-118.7566,54.66
CV-26,14,16,13,REG-COR,none,34.1088,-118.7487,54.46
CV-27,14,16,13,REG-COR,none,34.1486,-118.7578,57.31
CV-28,14,16,13,REG-COR,none,34.1502,-118.7571,57.51
