SAMPLE ID,CALCULATED AGE (Ma),CALCULATED MAX AGE,CACLULATED MIN AGE,AGE TECHNIQUE,AGE MINERAL,LATITUDE,LONGITUDE,SIO2
JF-94-81,16.5,16.56,16.44,AR_AR,none,35.6242,-115.0089,
JF-94-70,15.81,15.86,15.76,AR_AR,none,35.5681,-115.0336,
JF-94-71,16.01,16.08,15.94,AR_AR,none,35.5744,-115.0261,
JF-96-41,14.98,15.02,14.94,AR_AR,SANIDINE,35.57,-114.9858,
JF-96-42,15.26,15.3,15.22,AR_AR,SANIDINE,35.5714,-114.9853,
JF-96-44,15.22,15.26,15.18,AR_AR,SANIDINE,35.5744,-114.9814,
JF-94-64,15.66,15.74,15.58,AR_AR,none,35.5442,-114.9694,57.23
JF-94-63,15.98,16.03,15.93,AR_AR,none,35.5364,-114.9692,57.94
JF-94-61,16.26,16.41,16.11,AR_AR,BIOTITE,35.5247,-114.9636,67.41
JF-94-62,16.21,16.38,16.04,AR_AR,BIOTITE,35.5286,-114.9678,69.72
JF-94-78,18.27,18.36,18.18,AR_AR,none,35.5992,-115.0708,
JF-99-477,16.08,16.24,15.92,AR_AR,SANIDINE,35.5106,-114.9114,
CV 12,16.7,17.1,16.3,AR_AR,none,34.1306,-118.7614,50.82
CV 130,16.7,17.1,16.3,AR_AR,none,34.1169,-118.9091,55.28
CV 195B,16.7,17.1,16.3,AR_AR,none,34.15,-118.9,55.4
CV 117,16.7,17.1,16.3,AR_AR,none,34.2098,-118.9218,55.61
CV 178,16.7,17.1,16.3,AR_AR,none,34.1051,-118.8445,56.76
CV 115,16.7,17.1,16.3,AR_AR,none,34.2276,-118.9342,56.97
CV 107,16.7,17.1,16.3,AR_AR,none,34.2409,-118.8817,57.5
CV 120,16.7,17.1,16.3,AR_AR,none,34.2445,-118.8687,57.87
CV 121,16.7,17.1,16.3,AR_AR,none,34.2358,-118.866,57.91
CV 163,16.7,17.1,16.3,AR_AR,none,34.1517,-118.9618,58.09
CV 176,16.7,17.1,16.3,AR_AR,none,34.0923,-118.9423,58.1
CV 118A,16.7,17.1,16.3,AR_AR,none,34.215,-118.9206,58.14
CV 173,16.7,17.1,16.3,AR_AR,none,34.0927,-118.941,58.29
CV 175,16.7,17.1,16.3,AR_AR,none,34.1011,-118.9415,58.98
CV 126,16.7,17.1,16.3,AR_AR,none,34.1296,-118.7753,59.44
CV 187,16.7,17.1,16.3,AR_AR,none,34.0945,-118.9385,59.56
CV 101,16.7,17.1,16.3,AR_AR,none,34.1586,-118.991,60.98
CV 180,16.7,17.1,16.3,AR_AR,none,34.118,-118.85,62
CV 151,16.7,17.1,16.3,AR_AR,none,34.1411,-118.9686,62.33
CV 162,16.7,17.1,16.3,AR_AR,none,34.1457,-118.9655,62.75
CV 169,16.7,17.1,16.3,AR_AR,none,34.0869,-118.9486,63.12
CV 177,16.7,17.1,16.3,AR_AR,none,34.1001,-118.8388,64.14
CV 204,16.7,17.1,16.3,AR_AR,none,34.1209,-118.9312,65.52
CV 102B,16.7,17.1,16.3,AR_AR,none,34.1598,-119.027,65.91
CV 124,16.7,17.1,16.3,AR_AR,none,34.1965,-118.8875,66.33
CV 116,16.7,17.1,16.3,AR_AR,none,34.2141,-118.9281,66.7
CV 106,16.7,17.1,16.3,AR_AR,none,34.198,-118.9875,70.05
A,17.38,17.5,17.26,AR_AR,none,34.114,-118.3294,
B,17.38,17.49,17.27,AR_AR,none,34.1161,-118.3414,
C,17.27,17.72,16.82,AR_AR,none,34.1283,-118.3708,
GV-9,15.08,15.19,14.97,AR_AR,none,34.0796,-117.7889,
GV-12,15.32,15.48,15.16,AR_AR,none,34.0813,-117.7831,
GV-17,17.2,17.7,16.7,AR_AR,none,34.0759,-117.7837,
GV-18,15.28,15.33,15.23,AR_AR,none,34.0746,-117.7857,
A-1,0.1,0.15,0.05,REG-COR,none,34.5458,-115.7906,49.4
A-2,0.1,0.15,0.05,REG-COR,none,34.5458,-115.7906,47.6
A-3,0.1,0.15,0.05,REG-COR,none,34.5458,-115.7906,47
A-6,0.1,0.15,0.05,REG-COR,none,34.5448,-115.7882,48.1
A-8,0.1,0.15,0.05,REG-COR,none,34.5448,-115.7904,47
A-9,0.1,0.15,0.05,REG-COR,none,34.5449,-115.7898,49
A-10,0.1,0.15,0.05,REG-COR,none,34.5448,-115.7897,48.4
A-11,0.1,0.15,0.05,REG-COR,none,34.5449,-115.7892,49.9
A-12,0.1,0.15,0.05,REG-COR,none,34.5454,-115.7899,48.7
A-14,0.1,0.15,0.05,REG-COR,none,34.5433,-115.7861,49.9
A-15,0.1,0.15,0.05,REG-COR,none,34.5424,-115.7877,50.2
A-16,0.1,0.15,0.05,REG-COR,none,34.5393,-115.7924,49.3
A-17,0.1,0.15,0.05,REG-COR,none,34.5423,-115.7909,46.7
A-19,0.1,0.15,0.05,REG-COR,none,34.5447,-115.7922,47.6
A-21,0.1,0.15,0.05,REG-COR,none,34.5453,-115.7913,47.6
A-22,0.1,0.15,0.05,REG-COR,none,34.5459,-115.7908,46.3
A-23,0.1,0.15,0.05,REG-COR,none,34.5455,-115.7904,48.8
A-25,0.1,0.15,0.05,REG-COR,none,34.5419,-115.7963,47.5
A-27,0.1,0.15,0.05,REG-COR,none,34.5444,-115.8089,47.2
A-28,0.1,0.15,0.05,REG-COR,none,34.5517,-115.803,46.8
A-30,0.1,0.15,0.05,REG-COR,none,34.565,-115.7976,48.2
A-31,0.1,0.15,0.05,REG-COR,none,34.5553,-115.782,50.4
A-32,0.1,0.15,0.05,REG-COR,none,34.5282,-115.7559,47.3
P-1,0.0375,0.1,0.025,REG-COR,none,34.7469,-116.3753,48.3
P-3,0.0375,0.1,0.025,REG-COR,none,34.7466,-116.3745,47.2
P-5,0.0375,0.1,0.025,REG-COR,none,34.6839,-116.3306,47.3
P-7,0.0375,0.1,0.025,REG-COR,none,34.7494,-116.3485,47.5
P-9,0.0375,0.1,0.025,REG-COR,none,34.7645,-116.3676,48.3
P-11,0.0375,0.1,0.025,REG-COR,none,34.7449,-116.3721,48.3
P-12,0.0375,0.1,0.025,REG-COR,none,34.7433,-116.3708,48.7
P-15,0.0375,0.1,0.025,REG-COR,none,34.7448,-116.3728,48.9
P-17,0.0375,0.1,0.025,REG-COR,none,34.7416,-116.3703,47.3
P-18,0.0375,0.1,0.025,REG-COR,none,34.7416,-116.3703,47
P-19,0.0375,0.1,0.025,REG-COR,none,34.7416,-116.3703,47.6
P-20,0.0375,0.1,0.025,REG-COR,none,34.7416,-116.3703,46.9
P-21,0.0375,0.1,0.025,REG-COR,none,34.7416,-116.3703,48.7
P-22,0.0375,0.1,0.025,REG-COR,none,34.7445,-116.3696,48.3
P-23,0.0375,0.1,0.025,REG-COR,none,34.7468,-116.3687,50.2
P-24,0.0375,0.1,0.025,REG-COR,none,34.7465,-116.3675,47.9
P-26,0.0375,0.1,0.025,REG-COR,none,34.7494,-116.3728,47.4
P-28,0.0375,0.1,0.025,REG-COR,none,34.7491,-116.3742,46.4
P-30,0.0375,0.1,0.025,REG-COR,none,34.7479,-116.3769,47.1
P-31,0.0375,0.1,0.025,REG-COR,none,34.7492,-116.3937,49.4
P-35,0.0375,0.1,0.025,REG-COR,none,34.7552,-116.4368,49.2
P-36,0.0375,0.1,0.025,REG-COR,none,34.7948,-116.4791,48.8
49,0.9,1.8,0,STRAT,none,33.169,-115.6372,73.8
50,0.9,1.8,0,STRAT,none,33.1982,-115.6102,74.2
212,0.9,1.8,0,STRAT,none,33.2252,-115.6075,75.4
EP9315,18,20,17,REG-COR,none,35.2616,-117.4854,
SA9311,18,20,17,REG-COR,none,34.8994,-117.5116,
OM9312,18,20,17,REG-COR,none,35.14,-117.26,51.3
ECVF1514,18,20,17,REG-COR,none,35.43,-117.2,77.2
OPAL-2,18,20,17,REG-COR,none,35.0939,-117.1117,
ECVF1332,18,20,17,REG-COR,none,35.48,-117.03,74.9
ECVF1549,18,20,17,REG-COR,none,35.4,-116.97,
MARB-2,18,20,17,REG-COR,none,34.6683,-115.6412,71.9
MARB-522-9,18,20,17,REG-COR,none,34.6822,-115.6424,53.1
SV-2,18,20,17,REG-COR,none,34.5382,-115.37,48.6
SV-3,18,20,17,REG-COR,none,34.5382,-115.37,54.3
LP-KB,18,20,17,REG-COR,none,34.6182,-115.07,59.3
PLB,18,20,17,REG-COR,none,34.7882,-115.07,53.8
PR 6A,24.2,24.6,23.8,K-AR,WHOLE ROCK,34.7792,-119.0803,55.09
PR 6B,23.1,23.4,22.8,K-AR,WHOLE ROCK,34.7792,-119.0803,
PR 11A,20.9,21.8,20,K-AR,WHOLE ROCK,34.7792,-119.0803,52.3
PR 11B,20.4,21.3,19.5,K-AR,WHOLE ROCK,34.7792,-119.0803,
PR 13A,25.3,25.9,24.7,K-AR,WHOLE ROCK,34.7792,-119.0803,51.48
PR 138,23.9,24.2,23.6,K-AR,WHOLE ROCK,34.7792,-119.0803,
PR F6,26.5,27,26,K-AR,WHOLE ROCK,34.7792,-119.0803,
VF 7 A,20.6,21,20.2,K-AR,WHOLE ROCK,34.4869,-118.3569,57.48
VF 7 B,23.6,24,23.2,K-AR,WHOLE ROCK,34.4869,-118.3569,
VF 23A,17,17.5,16.5,K-AR,WHOLE ROCK,34.4933,-118.2525,56.1
VF 23B,14.7,15.1,14.3,K-AR,WHOLE ROCK,34.4933,-118.2525,
VF 25A,19.6,21.1,18.1,K-AR,WHOLE ROCK,34.5175,-118.1094,59.04
VF 25B,17.2,17.6,16.8,K-AR,WHOLE ROCK,34.5175,-118.1094,
VF L3,25.4,26,24.8,K-AR,WHOLE ROCK,34.5,-118.25,
VF L6,37.5,38.5,36.5,K-AR,WHOLE ROCK,34.5,-118.25,
DF 4A,22,22.5,21.5,K-AR,WHOLE ROCK,33.625,-115.375,52.24
DF 21A,23.6,24.1,23.1,K-AR,WHOLE ROCK,33.625,-115.375,52.79
DF 30A,22.2,22.7,21.7,K-AR,WHOLE ROCK,33.625,-115.375,51.66
DF 30B,22.9,23.4,22.4,K-AR,WHOLE ROCK,33.625,-115.375,
28,0.185,0.2035,0.1665,K-AR,none,34.9731,-116.5367,
52,0.73,0.74,0.72,STRAT,none,34.2983,-119.2289,
33,2,2.1,1.9,STRAT,none,34.9806,-116.5353,78.33
29,0.185,0.2035,0.1665,K-AR,none,34.9731,-116.5367,
20,1,1.1,0.9,REG-COR,none,34.3028,-119.2706,
B354,35,38.5,31.5,U-PB,ZIRCON,33.9183,-117.1809,
46,57,59.5,54.5,FT,APATITE,31.8797,-116.1596,
15,0.68,0.7,0.66,REG-COR,none,33.3747,-115.7686,
12,0.73,0.803,0.657,REG-COR,none,33.3747,-115.7686,77.31
OCT-10A,15.39,15.54,15.24,U-PB CONCORDIA,CALCITE,35.021973,-117.02054,
OWL-S-4,15.3,15.55,15.05,U-PB CONCORDIA,CALCITE,35.021973,-117.02054,
OW-11,14.81,15.2,14.42,U-PB CONCORDIA,CALCITE,35.021973,-117.02054,
OCE-1,16.14,16.54,15.74,U-PB CONCORDIA,CALCITE,35.082535,-117.02278,
OW-17,16.24,16.47,16.01,U-PB CONCORDIA,CALCITE,35.06201,-116.98634,
5-21-02E,14.81,15.22,14.4,AR_AR,none,35.640476,-117.09061,64.6
5-21-02C,14.27,14.89,13.65,AR_AR,none,35.62969,-117.01598,58
5-21-02D,14.62,15.05,14.19,AR_AR,none,35.639275,-117.0919,75.3
Ci-53,6.92,7.612,6.228,UNKNOWN,none,35.22085,-115.68513,48.4
Ci-75,3.64,4.004,3.276,UNKNOWN,none,35.32838,-115.84379,
Ci-12,3,3.3,2.7,UNKNOWN,none,35.33853,-115.63202,46.7
SADL-1,18,20,17,REG-COR,none,35.0595,-117.6253,49.1
KRMR-4,18,20,17,REG-COR,none,34.8994,-117.5116,
pk914c,18,20,17,REG-COR,none,35.5589,-117.1181,52.5
OM9313,18,20,17,REG-COR,none,35.15,-117.26,53.5
OPAL-4,18,20,17,REG-COR,none,35.0939,-117.1117,
PK914b,18,20,17,REG-COR,none,35.5589,-117.1181,50.9
ECVF1425,18,20,17,REG-COR,none,35.55,-117.02,56.9
ECVF1431,18,20,17,REG-COR,none,35.47,-117.03,59.8
ECVF1340,18,20,17,REG-COR,none,35.55,-116.99,
LNMT-2,18,20,17,REG-COR,none,35.088,-116.9426,
91fi12p,18,20,17,REG-COR,none,35.4982,-116.87,56
90fi28,18,20,17,REG-COR,none,35.4982,-116.86,64
91fi9p,18,20,17,REG-COR,none,35.4977,-116.8674,55.1
90fi39,18,20,17,REG-COR,none,35.3382,-116.8,75.6
90fi38,18,20,17,REG-COR,none,35.3382,-116.81,63.3
93fi12,18,20,17,REG-COR,none,35.3282,-116.75,49.1
91fi5,18,20,17,REG-COR,none,35.3382,-116.79,51.5
89fi6,18,20,17,REG-COR,none,35.3052,-116.6809,48.2
91fi102,18,20,17,REG-COR,none,35.3682,-116.69,65.7
ALVO-3,18,20,17,REG-COR,none,35.064,-116.5454,48.7
A-4-2,18,20,17,REG-COR,none,34.8055,-116.6698,69.1
82-25,18,20,17,REG-COR,none,34.8098,-116.3182,68.3
a-3,18,20,17,REG-COR,none,35.3025,-116.1702,53.4
11--90,18,20,17,REG-COR,none,34.767,-116.284,52.7
25-13,18,20,17,REG-COR,none,34.7868,-116.3021,68.8
LVHL-2,18,20,17,REG-COR,none,34.645,-115.9625,65.8
13-22,18,20,17,REG-COR,none,34.7724,-116.2432,53.1
12--3,18,20,17,REG-COR,none,34.7817,-116.2442,50
22-10A,18,20,17,REG-COR,none,34.825,-116.3085,64.3
AG-2,18,20,17,REG-COR,none,34.7745,-116.2424,63.2
NBPS-6,18,20,17,REG-COR,none,34.4957,-116.1492,48.9
MARB-522-24,18,20,17,REG-COR,none,34.6854,-115.6498,73.6
M84LH108,18,20,17,REG-COR,none,35.65,-115.94,54.7
MARB-522-22,18,20,17,REG-COR,none,34.681,-115.6381,53
MARB-522-23,18,20,17,REG-COR,none,34.6801,-115.639,52.7
P-2C,18,20,17,REG-COR,none,34.7582,-115.14,66.1
EP-1,18,20,17,REG-COR,none,34.6982,-115.15,56.2
LP-UB3,18,20,17,REG-COR,none,34.6182,-115.07,61.1
TU-B,18,20,17,REG-COR,none,34.6182,-115.11,57.5
PCST-37,18,20,17,REG-COR,none,34.5,-114.86,71
ST-HA-2,18,20,17,REG-COR,none,34.5,-114.86,66
Ci-49,7.55,8.305,6.795,UNKNOWN,none,35.217133,-115.7052,46.8
Ci 9-101,6.2,6.82,5.58,UNKNOWN,none,35.36034,-115.65444,47.2
CD-8,6.5,7.15,5.85,UNKNOWN,none,35.217133,-115.7052,48.8
Ci-10-101,5.9,6.49,5.31,UNKNOWN,none,35.35696,-115.64185,46.6
Ci-16,6.08,6.688,5.472,UNKNOWN,none,35.31417,-115.8188,48.8
Ci-18,4.76,5.236,4.284,UNKNOWN,none,35.34351,-115.74133,52.9
Ci-9-102,5.5,6.05,4.95,UNKNOWN,none,35.35297,-115.65444,48.4
Ci-19,4.48,4.928,4.032,UNKNOWN,none,35.42085,-115.83567,50.6
MC-5,4.24,4.664,3.816,UNKNOWN,none,35.38737,-115.85625,52.2
Ci-25,4.46,4.906,4.014,UNKNOWN,none,35.38087,-115.72735,52.3
Ci-57,4.02,4.422,3.618,UNKNOWN,none,35.453716,-115.80618,52.3
Ci-56,4.03,4.433,3.627,UNKNOWN,none,35.41962,-115.78652,53.7
MC-1,3.88,4.268,3.492,UNKNOWN,none,35.306377,-115.77754,50.5
Ci-60,3.93,4.323,3.537,UNKNOWN,none,35.47798,-115.82953,51.8
MC-1A,3.85,4.235,3.465,UNKNOWN,none,35.306377,-115.77754,49.6
CD-7,0.85,0.935,0.765,UNKNOWN,none,35.209206,-115.71586,50.5
CD-5,0.99,1.089,0.891,UNKNOWN,none,35.193096,-115.73792,49.8
CD-1,0.56,0.616,0.504,UNKNOWN,none,35.183926,-115.77583,50.7
Ci-15,0.85,0.935,0.765,UNKNOWN,none,35.235474,-115.74387,48.2
CD-2,0.35,0.385,0.315,UNKNOWN,none,35.196564,-115.78203,50.1
CD-6,0.5,0.55,0.45,UNKNOWN,none,35.20623,-115.73965,51.6
Ci-20,0.33,0.363,0.297,UNKNOWN,none,35.254063,-115.729,48.9
CD-4,0.99,1.089,0.891,UNKNOWN,none,35.19954,-115.73073,49.8
Ci-43,0.15,0.165,0.135,UNKNOWN,none,35.194584,-115.84076,48.2
Ci-6-1,0.27,0.297,0.243,UNKNOWN,none,35.27661,-115.73196,48.4
CD-3,0.135,0.1485,0.1215,UNKNOWN,none,35.219612,-115.75477,50.3
50,0.9,1.8,0,REG-COR,none,33.3806,-115.7681,
49,0.9,1.8,0,REG-COR,none,35.5553,-117.2947,75.65
43,2,2.1,1.9,REG-COR,none,34.3139,-119.0869,76.52
41,2,2.2,1.8,UNKNOWN,none,34.9789,-116.535,75.97
32,2,2.1,1.9,STRAT,none,34.9789,-116.535,
30,2,2.1,1.9,STRAT,none,34.9739,-116.5356,
27,1.4,1.54,1.26,STRAT,none,34.3167,-119.0733,76.77
26,1.2,1.5,0.9,REG-COR,none,34.3389,-119.3925,
21,1,1.1,0.9,REG-COR,none,34.3014,-119.3039,77.12
18,0.9,0.99,0.81,REG-COR,none,34.3181,-119.3453,77.19
10,0.73,0.803,0.657,REG-COR,none,33.5811,-117.2403,77.35
6,0.62,0.64,0.6,REG-COR,none,33.3747,-115.7686,77.49
7,0.62,0.64,0.6,REG-COR,none,33.3747,-115.7686,
5,0.62,0.64,0.6,REG-COR,none,33.3806,-116.4097,78
4,0.62,0.64,0.6,REG-COR,none,34.2992,-119.2633,77.28
3327,0.055,0.1,0.01,REG-COR,none,32.833332,-115.16666,50.1
3354,0.055,0.1,0.01,REG-COR,none,32.833332,-115.16666,50.59
3336,0.055,0.1,0.01,REG-COR,none,32.833332,-115.16666,51.6
3351,0.055,0.1,0.01,REG-COR,none,32.833332,-115.16666,54.4
2754,0.055,0.1,0.01,REG-COR,none,32.833332,-115.16666,57.4
1795,0.055,0.1,0.01,REG-COR,none,32.833332,-115.16666,58.3
2382,0.055,0.1,0.01,REG-COR,none,32.833332,-115.16666,58.4
2360,0.055,0.1,0.01,REG-COR,none,32.833332,-115.16666,58.9
3972,0.055,0.1,0.01,REG-COR,none,32.833332,-115.16666,64.2
3921,0.055,0.1,0.01,REG-COR,none,32.833332,-115.16666,64.4
3969,0.055,0.1,0.01,REG-COR,none,32.833332,-115.16666,64.5
3930,0.055,0.1,0.01,REG-COR,none,32.833332,-115.16666,64.6
3942,0.055,0.1,0.01,REG-COR,none,32.833332,-115.16666,64.93
3957,0.055,0.1,0.01,REG-COR,none,32.833332,-115.16666,65.5
LP-LFT,18.2,19.7,16.7,AR_AR,PLAGIOCLASE,34.6061,-115.086,
PST-1,18.42,18.49,18.35,AR_AR,SANIDINE,34.6061,-115.086,
WTG-1,18.7,19,18.4,AR_AR,SANIDINE,34.5949,-115.095,
BS-A,16.6,17,16.2,AR_AR,HORNBLENDE,34.7006,-115.1641,
GB-B,10.2,10.8,9.6,AR_AR,HORNBLENDE,34.8768,-115.0693,
8,64.77759,71.25535,58.29983,U-TH,none,34.9391,-118.8239,
J-38a,15.6,20,11.2,REG-COR,none,32.666,-116.1666,51.58
J-40a,15.6,20,11.2,REG-COR,none,32.666,-116.1666,51.88
J-43b,15.6,20,11.2,REG-COR,none,32.666,-116.1666,51.06
J-47b,15.6,20,11.2,REG-COR,none,32.666,-116.1666,50.56
JT-11,15.6,20,11.2,REG-COR,none,32.666,-116.1666,52.39
J-1,18.7,20,17.4,K-AR,none,32.666,-116.1666,53.16
HJ-2,15.6,20,11.2,REG-COR,none,32.666,-116.1666,59.71
JT-6,15.6,20,11.2,REG-COR,none,32.666,-116.1666,59.69
J-11,15.6,20,11.2,REG-COR,none,32.666,-116.1666,62.97
J-12,15.6,20,11.2,REG-COR,none,32.666,-116.1666,61.46
J-29b,15.6,20,11.2,REG-COR,none,32.666,-116.1666,62.03
J-35,15.6,20,11.2,REG-COR,none,32.666,-116.1666,62.25
Baja-6,14.3,16.9,11.7,REG-COR,none,32.11,-116.73,50.33
Baja-7,14.3,16.9,11.7,REG-COR,none,32.11,-116.73,47.6
Baja-7*,14.3,16.9,11.7,REG-COR,none,32.11,-116.73,50.62
SR-61a,5.3,8.8,1.8,REG-COR,none,33.5,-117.25,45.93
SR-4b,5.3,8.8,1.8,REG-COR,none,33.5,-117.25,50.1
SR-25b,5.3,8.8,1.8,REG-COR,none,33.5,-117.25,49.19
SR-74d,5.3,8.8,1.8,REG-COR,none,33.5,-117.25,51.69
L,5.3,8.8,1.8,REG-COR,none,33.5,-117.25,49.42
AG-D-2-A,5.3,8.8,1.8,REG-COR,none,33.5,-117.25,46.09
SCB,5.3,8.8,1.8,REG-COR,none,33.5,-117.25,51.07
Deepstar,5.3,8.8,1.8,REG-COR,none,33.5,-117.25,56.95
AG-D-6-H,5.3,8.8,1.8,REG-COR,none,33.5,-117.25,64.48
UAKA-69-04,5.47,5.67,5.27,K-AR,none,33.108334,-114.87333,
UAKA-74-120,5.4,5.5,5.3,K-AR,WHOLE ROCK,32.48333,-114.7333,
KA 161,15.6,17.16,14.04,K-AR,BIOTITE,34.2,-118.4,
KA 453,10.27,11.297,9.243,K-AR,BIOTITE,35.3,-117.9,
KA 478,17.55,19.305,15.795,K-AR,BIOTITE,35.1,-118.3,
KA 1275,10.98,12.078,9.882,K-AR,SANIDINE,35.3,-116.2,
KA 1365,11.29,12.419,10.161,K-AR,SANIDINE,35.3,-116.2,
KA 1368,12.63,13.893,11.367,K-AR,BIOTITE,35.14,-116.47,
KA 1372,11.81,12.991,10.629,K-AR,PLAGIOCLASE,35.14,-116.47,
B-35-3,16.7,17.1,16.3,REG-COR,none,34.1167,-118.9583,45.31
H-7-2,16.7,17.1,16.3,REG-COR,none,34.1016,-118.7582,47.81
Z-18-5,16.7,17.1,16.3,REG-COR,none,34.1401,-118.7587,54.65
Z-22-4,16.7,17.1,16.3,REG-COR,none,34.1373,-118.7628,58.11
E-25-2,16.7,17.1,16.3,REG-COR,none,34.1125,-118.7949,58.17
E-2-1,16.7,17.1,16.3,REG-COR,none,34.1263,-118.7701,59.8
Z-41-3,16.7,17.1,16.3,REG-COR,none,34.1336,-118.7854,65.69
Z-30-1,16.7,17.1,16.3,REG-COR,none,34.1394,-118.7979,66.12
LC-57,16.7,17.1,16.3,REG-COR,none,34.1006,-118.7734,
H-22-2,16.7,17.1,16.3,REG-COR,none,34.1063,-118.7928,
Z-51-1,16.7,17.1,16.3,REG-COR,none,34.1179,-118.794,
D-17-5,16.7,17.1,16.3,REG-COR,none,34.1107,-118.7555,
E-60-1,16.7,17.1,16.3,REG-COR,none,34.1321,-118.7719,
E-56-1,16.7,17.1,16.3,REG-COR,none,34.1322,-118.7731,
E-54-1,16.7,17.1,16.3,REG-COR,none,34.1305,-118.7734,
Z-19-2,16.7,17.1,16.3,REG-COR,none,34.1394,-118.7574,
E-32-3,16.7,17.1,16.3,REG-COR,none,34.1078,-118.7958,
Z-10-2,16.7,17.1,16.3,REG-COR,none,34.1301,-118.756,
D-55-4,16.7,17.1,16.3,REG-COR,none,34.1173,-118.7841,
LC-50,16.7,17.1,16.3,REG-COR,none,34.1109,-118.7538,
E-1-1,16.7,17.1,16.3,REG-COR,none,34.1109,-118.7538,
E-43-2,16.7,17.1,16.3,REG-COR,none,34.1288,-118.7754,
E-49-1,16.7,17.1,16.3,REG-COR,none,34.1294,-118.7831,
E-55-2,16.7,17.1,16.3,REG-COR,none,34.1316,-118.7732,
E-57-2,16.7,17.1,16.3,REG-COR,none,34.1331,-118.7716,
Z-11-1a,16.7,17.1,16.3,REG-COR,none,34.1419,-118.7607,
H-16-1,16.7,17.1,16.3,REG-COR,none,34.1446,-118.7667,
Z-30-3,16.7,17.1,16.3,REG-COR,none,34.1388,-118.8004,
Z-37-3,16.7,17.1,16.3,REG-COR,none,34.1507,-118.7916,
D-30-4,16.7,17.1,16.3,REG-COR,none,34.0993,-118.7935,
D-31-3,16.7,17.1,16.3,REG-COR,none,34.0999,-118.7849,
E-55-1,16.7,17.1,16.3,REG-COR,none,34.1328,-118.7736,
