'ID,Soil order,Topsoil or Subsoil,Kaolinite ,Smectite ,Vermiculite,Illite /Mica,Chlorite,Quartz ,Arophane,Gibbsite,Fe oxide,Others,Reference
27,Alfisol,S,10.52631579,21.05263158,0,21.05263158,21.05263158,0,0,0,0,26.31578947,"Khormali, F. and Abtahi, A., 2003. Origin and distribution of clay minerals in calcareous arid and semi-arid soils of Fars Province, southern Iran. Clay Minerals, 38: 511_527."
28,Alfisol,T,10,20,0,30,30,0,0,0,0,10,"Khormali, F. and Abtahi, A., 2003. Origin and distribution of clay minerals in calcareous arid and semi-arid soils of Fars Province, southern Iran. Clay Minerals, 38: 511_527."
29,Alfisol,S,10,20,0,20,20,0,0,0,0,30,"Khormali, F. and Abtahi, A., 2003. Origin and distribution of clay minerals in calcareous arid and semi-arid soils of Fars Province, southern Iran. Clay Minerals, 38: 511_527."
30,Alfisol,S,4.761904762,28.57142857,9.523809524,19.04761905,19.04761905,0,0,0,0,19.04761905,"Khormali, F. and Abtahi, A., 2003. Origin and distribution of clay minerals in calcareous arid and semi-arid soils of Fars Province, southern Iran. Clay Minerals, 38: 511_527."
31,Alfisol,T,0,0,0,35,25,0,0,0,0,40,"Khormali, F. and Abtahi, A., 2003. Origin and distribution of clay minerals in calcareous arid and semi-arid soils of Fars Province, southern Iran. Clay Minerals, 38: 511_527."
32,Alfisol,S,0,0,0,25,20,0,0,0,0,55,"Khormali, F. and Abtahi, A., 2003. Origin and distribution of clay minerals in calcareous arid and semi-arid soils of Fars Province, southern Iran. Clay Minerals, 38: 511_527."
33,Alfisol,S,5,5,0,15,15,0,0,0,0,60,"Khormali, F. and Abtahi, A., 2003. Origin and distribution of clay minerals in calcareous arid and semi-arid soils of Fars Province, southern Iran. Clay Minerals, 38: 511_527."
34,Alfisol,T,10,32.5,5,25,20,0,0,0,0,7.5,"Khormali, F. and Abtahi, A., 2003. Origin and distribution of clay minerals in calcareous arid and semi-arid soils of Fars Province, southern Iran. Clay Minerals, 38: 511_527."
35,Alfisol,S,12.5,32.5,5,22.5,20,0,0,0,0,7.5,"Khormali, F. and Abtahi, A., 2003. Origin and distribution of clay minerals in calcareous arid and semi-arid soils of Fars Province, southern Iran. Clay Minerals, 38: 511_527."
36,Alfisol,T,12.5,27.5,0,32.5,22.5,0,0,0,0,5,"Khormali, F. and Abtahi, A., 2003. Origin and distribution of clay minerals in calcareous arid and semi-arid soils of Fars Province, southern Iran. Clay Minerals, 38: 511_527."
37,Alfisol,S,6.329113924,32.91139241,2.53164557,26.58227848,24.05063291,0,0,0,0,7.594936709,"Khormali, F. and Abtahi, A., 2003. Origin and distribution of clay minerals in calcareous arid and semi-arid soils of Fars Province, southern Iran. Clay Minerals, 38: 511_527."
38,Alfisol,T,5.555555556,13.88888889,0,38.88888889,25,0,0,0,0,16.66666667,"Khormali, F. and Abtahi, A., 2003. Origin and distribution of clay minerals in calcareous arid and semi-arid soils of Fars Province, southern Iran. Clay Minerals, 38: 511_527."
39,Alfisol,S,2.631578947,13.15789474,0,39.47368421,26.31578947,0,0,0,0,18.42105263,"Khormali, F. and Abtahi, A., 2003. Origin and distribution of clay minerals in calcareous arid and semi-arid soils of Fars Province, southern Iran. Clay Minerals, 38: 511_527."
40,Alfisol,T,2.564102564,28.20512821,0,28.20512821,30.76923077,0,0,0,0,10.25641026,"Khormali, F. and Abtahi, A., 2003. Origin and distribution of clay minerals in calcareous arid and semi-arid soils of Fars Province, southern Iran. Clay Minerals, 38: 511_527."
41,Alfisol,S,5.263157895,28.94736842,0,23.68421053,31.57894737,0,0,0,0,10.52631579,"Khormali, F. and Abtahi, A., 2003. Origin and distribution of clay minerals in calcareous arid and semi-arid soils of Fars Province, southern Iran. Clay Minerals, 38: 511_527."
